ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents   label   detailed-label,Tunnel,Traffic_Labeled,Malware
2019-09-20 22:28:15.908140800,CeFeHY3cDaj9FJyGb8,162.248.88.215,62336,192.168.1.195,5269,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:22.535739904,CY7kXw4CcLs4guXccd,192.168.1.195,43157,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:21.481559040,CXgHzw2puHg695tuza,162.248.88.215,62336,192.168.1.195,8080,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 19:16:20.775464960,CoYJRk15ZR9JgPNEKh,192.168.1.195,123,89.221.210.188,123,udp,,0 days 00:00:00.004494,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:26:02.279185152,CfDGpE2iJJFE63ucgk,162.248.88.215,62336,192.168.1.195,6667,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:51.343995136,CGIMQWX5nZmc2Ci3e,162.248.88.215,62336,192.168.1.195,8000,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:23.247409152,Cbc0Lsl6L6qb8ero,162.248.88.215,62336,192.168.1.195,1080,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:28:06.718358016,CVaXKB1KE5wC08DK9a,162.248.88.215,62336,192.168.1.195,21,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:18.705698048,CIgl6S288eXTsfg8y5,192.168.1.195,30378,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:27:32.236051200,Ctus4q1sTzFUfELdh6,162.248.88.215,62336,192.168.1.195,25,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:36.570308096,CSLMhc3WWnQYCECRY9,162.248.88.215,62336,192.168.1.195,6669,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:29.787033088,CIWEamEHuPDF9vX8e,192.168.1.195,16625,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:23:33.884004096,CaEjyN61yaUfn4BAb,162.248.88.215,62336,192.168.1.195,8000,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 10:45:44.776612096,CPEwoc4nQtQdhB6OL5,192.168.1.195,123,89.221.210.188,123,udp,,0 days 00:00:00.004246,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:27:35.973876992,Cr2Gmj4KyLnkoSnlxk,192.168.1.195,37668,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 02:55:56.773544960,CnevSn20Y9Bjvwrvn6,192.168.1.195,123,5.1.56.123,123,udp,,0 days 00:00:00.000003,96,0,S0,,,0,D,2,152,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:23:40.918915072,ClKcX93EbVc7uZhN33,192.168.1.195,13710,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:33.807003904,CCsMhF2vP31qxB5MTl,162.248.88.215,62336,192.168.1.195,587,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:03.283083008,CTxtIP1g87PJzQw161,162.248.88.215,62336,192.168.1.195,636,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:44.178185984,CFHVDj1gfN9HQqwKTf,192.168.1.195,26423,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 18:10:22.777890048,ClcmUEtvcOW7KLv8k,192.168.1.195,123,5.1.56.123,123,udp,,0 days 00:00:00.000003,96,0,S0,,,0,D,2,152,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:59.382871040,CGOEWc1MHr3cH4UOAj,162.248.88.215,62336,192.168.1.195,22,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:53.038626048,CtcbeFEh30hEgoqA8,192.168.1.195,930,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:38.148526848,CXXGwl1Yjrg2JPAlz3,162.248.88.215,62336,192.168.1.195,6669,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:48.324541952,C1M4uxvYVWHsJh2Vk,192.168.1.195,57273,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:27:07.266350080,Cnm2Dh3tFHJLPf7PPd,162.248.88.215,62336,192.168.1.195,5269,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:24:13.313122048,CoMkuN2iKKHaynBnhc,162.248.88.215,62336,192.168.1.195,53,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:03.548999168,CdnYwr14KXcRQVrsKf,192.168.1.195,11099,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:46.321569024,ClnSkjO82OICrBk9c,192.168.1.195,9343,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:59.818105856,CqqjA94XZyaIIu9b5,162.248.88.215,62336,192.168.1.195,5269,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:23:40.890925824,CtYIG12gwla38aYPRk,192.168.1.195,65410,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 15:54:31.773721856,CZuzCE2dLuFhQlJqFi,192.168.1.195,123,31.31.74.35,123,udp,,0 days 00:00:00.007740,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:24:02.684047872,CfUg7h33NSwR2sSzN1,162.248.88.215,62336,192.168.1.195,990,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:24:53.672748032,Cn13r24S8FrJGJBbld,192.168.1.195,6266,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:20.197716992,CDTHFhdhSLyTwMth3,162.248.88.215,62336,192.168.1.195,631,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:42.789370112,CkavIH1laapAfGlvEl,192.168.1.195,20687,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:28:02.656943104,CnrCu41bcVLvsm7qc5,192.168.1.195,59032,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:42.342125056,C4NIvp4C2xK8a7JQd8,192.168.1.195,18487,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 10:55:07.777676032,CY3jI041ngblqcgYci,192.168.1.195,123,31.31.74.35,123,udp,,0 days 00:00:00.007246,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:25:13.996851968,CAEThK3iVKL9qlfkF4,162.248.88.215,62336,192.168.1.195,443,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:33.388457984,C4sjhI3s47ZxOuHGA8,192.168.1.195,35817,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:08.793560064,CjSomt1vzSfgrYiRLe,162.248.88.215,62336,192.168.1.195,992,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:07.533701888,C8IoZwsBSt8dfCfE2,192.168.1.195,22254,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:48.618906112,CFDBBF4EKoPpbYYrd5,162.248.88.215,62336,192.168.1.195,989,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:24:04.352948992,ClWVy34iYvVSV5oTDh,162.248.88.215,62336,192.168.1.195,21,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:48.844547072,CMyQQQ0wMMzhx6vKa,192.168.1.195,22201,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:37.541992960,CcBS3h4bDxCrA9yj2l,192.168.1.195,34681,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:17.384119040,CMAixj3RPb2QDC8DKc,192.168.1.195,47738,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:27:44.921794048,CKlKxJ2fdkQXtfyued,162.248.88.215,62336,192.168.1.195,22,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:41.617499136,C8pX4p11WlGRL8sEgj,192.168.1.195,58268,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:11.194038016,CkN75VrA1H59nzNza,192.168.1.195,45225,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:48.874257920,CLHzhr2QMHNt1YdVj7,192.168.1.195,15321,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:27:17.160780800,Ct0q8rcxpArlNSPy7,162.248.88.215,62336,192.168.1.195,88,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:56.335459840,C3owMJhGzvHN6WQsf,162.248.88.215,62336,192.168.1.195,443,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:24:43.289555968,CqmZD33ggHYJHIMdlf,192.168.1.195,2231,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 09:27:44.771500032,CJ5HuQ1hdfheh4ja5d,192.168.1.195,123,212.111.30.190,123,udp,,0 days 00:00:10.007291,576,576,SF,,,0,Dd,12,912,12,912,-   Benign   -,-,Benign, -
2019-09-20 00:55:54.772190976,CNZB5915KCzcHzjHcc,192.168.1.195,123,31.31.74.35,123,udp,,0 days 00:00:00.007995,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:27:30.304284928,C0nVBc2gSU3voAjvyk,192.168.1.195,23879,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:36.316869120,CBLqz94kLRxMoPCuo6,192.168.1.195,50810,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:19.692730880,CXs1vJNKKEYZ72WEg,192.168.1.195,56217,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:58.136792832,CsNVZYsuCY9j77Ha9,162.248.88.215,62336,192.168.1.195,585,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:28:26.336285184,Ci2ndy3h9sjakmR9o8,192.168.1.195,53278,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:23.228632832,CLqiUk2rR2l2wozoZd,162.248.88.215,62336,192.168.1.195,585,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:23:57.695096064,C7XcTr4d3VvBziRD67,162.248.88.215,62336,192.168.1.195,585,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:28:01.808125952,CnOSi44PXLBw7iMojg,192.168.1.195,60573,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:23:48.380354816,C386Ib4ou0SkOOinv,192.168.1.195,31097,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:23:31.523956992,CEuHp23MKDv1F5cEC8,162.248.88.215,62336,192.168.1.195,88,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:28:51.602565120,Cmu9zC4JENGpmtLet,192.168.1.195,57092,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:04.253091072,CJb0iA30pQXUhe2P4e,162.248.88.215,62336,192.168.1.195,5222,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:33.875439872,CwcxBpkZdY8CsXng3,162.248.88.215,62336,192.168.1.195,993,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:35.584814080,CaBmgk3mXzxbyPWub3,192.168.1.195,60337,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:53.323926016,Cw0ReOnJ5Es6P6prf,192.168.1.195,40947,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:14.443923968,CFL0lonChsZeBAZA3,192.168.1.195,51310,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 18:12:39.777774080,CDgBk44livczqZfOv9,192.168.1.195,123,81.2.254.32,123,udp,,0 days 00:00:00.005245,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:25:59.685977088,CZ6rcf25lwtTdfeRa4,192.168.1.195,15007,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:28:54.329163008,Cw5QFvkhqeNKOIVN6,162.248.88.215,62336,192.168.1.195,21,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:00.332901120,CQ0Q996cgT92gw2Ei,162.248.88.215,62336,192.168.1.195,6668,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:51.283291136,CSZb1a11I5dfh7K0D,192.168.1.195,42094,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:25.156819200,C0Uwdx3GYJz1dbAiud,192.168.1.195,37001,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:28.477979904,CRXUrr39NL5Sf84ND7,162.248.88.215,62336,192.168.1.195,445,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:18.563805184,CzVlYE2lHjrVirb5ue,192.168.1.195,25412,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:27.603319040,CzltFf3BKDCNz8PbAk,192.168.1.195,37841,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:14.752890112,CdoMQH24X7yA6uHgr2,192.168.1.195,12505,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:27:44.287867904,ClnZjnUpPeya91EJd,162.248.88.215,62336,192.168.1.195,993,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:25:05.202604032,C95vIyuPkmGgNMjXd,192.168.1.195,52408,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:56.564769024,CFxt3gXSOtNquhwY8,192.168.1.195,8925,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 12:48:25.771441920,CQilfk62zqp50dLWg,192.168.1.195,123,89.221.210.188,123,udp,,0 days 00:00:00.004249,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:24:26.335719936,CEBw58490Be6gcQng4,192.168.1.195,57252,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:06.455294976,CfNCCo2bTBXGHoSnrk,162.248.88.215,62336,192.168.1.195,585,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:37.081571072,Cp8VOA36rhn4oE3tek,192.168.1.195,37746,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:27:03.878089984,CF9tns29BkxePheUif,192.168.1.195,39981,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:15.062230016,CQRywB059J9v1ruy2,192.168.1.195,34133,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:28:02.816860928,CsNqRt1zpDxEvq0wMe,162.248.88.215,62336,192.168.1.195,585,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:02.211444992,C0lj8X20MD1HedSMo2,192.168.1.195,46828,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 15:09:07.772107008,C9BNOA1Y3bWyOMePUj,192.168.1.195,123,89.221.210.188,123,udp,,0 days 00:00:00.004500,96,96,SF,,,0,Dd,2,152,2,152,-   Benign   -,-,Benign, -
2019-09-20 22:24:13.802625024,Cy6Xa21p67f6g3WFyb,192.168.1.195,35042,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:20.195475200,CuzDPD3Tr7FWhXi4Il,162.248.88.215,62336,192.168.1.195,993,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:23:46.842138880,CwYD2t2NFhcmND9Epb,192.168.1.195,4701,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:28:54.349651968,CqB7Vc1f4kqibdmpa,192.168.1.195,8226,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:25.747378944,C1cbQR1gXEjp8BmXX1,162.248.88.215,62336,192.168.1.195,20000,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:24:02.932674048,CCi3Bs4v6alyjX4Hjd,162.248.88.215,62336,192.168.1.195,3128,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:26:31.496179200,Cc4SQN2YezBNx6nA2a,192.168.1.195,21127,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:56.973660928,CbmjPe2NgI9u5921fd,192.168.1.195,42732,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:42.551685120,CwKABg3IbRpZMDvGb3,192.168.1.195,20081,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:23:18.446376960,CN4fE94OKYSCZlOxse,162.248.88.215,62336,192.168.1.195,6668,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:28:51.951633920,Cj20Ah4GvSVOhaNeN,162.248.88.215,62336,192.168.1.195,587,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:17.175517184,CqfabR2DJW80KriDEl,192.168.1.195,24506,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:25:41.122725120,CW3uVE4BOB5xoxxiGd,162.248.88.215,62336,192.168.1.195,22,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 04:52:33.771333888,C4RA312eExcSRm9yE2,192.168.1.195,123,89.221.210.188,123,udp,,0 days 00:00:00.000003,96,0,S0,,,0,D,2,152,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:46.306329856,Cq63Ds4CjYSsH77emi,162.248.88.215,62336,192.168.1.195,6667,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:24:44.038423040,CeQm3N38QFltYmc5A3,192.168.1.195,24490,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:26:48.855788032,CngSds2JDupKm6V5wc,162.248.88.215,62336,192.168.1.195,88,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
2019-09-20 22:27:30.731322112,CtkYEO3MtILbuwjGXi,192.168.1.195,63669,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:24:31.879884032,Cu7d9U2lOo06sdZmo8,192.168.1.195,30264,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:23:44.472347904,CClrut4zjvJBcxSZT1,192.168.1.195,53364,162.248.88.215,62336,tcp,,,,,OTH,,,0,C,0,0,0,0,-   Malicious   DDoS,-, Malicious, DDoS
2019-09-20 22:27:24.337346048,Cd8NqI1Nvu0fnMvpzk,162.248.88.215,62336,192.168.1.195,5222,tcp,,,,,OTH,,,0,^c,0,0,0,0,-   Benign   -,-,Benign, -
